Employee_ID,Gender,Years_Exp,Years_Seniority,Edu_Level,Perf,Job_Role,Job_Family,Job_Level,Job_Location,Market_Median,Salary,Bonus_FY,Total_Compensation
11179FBU,Male,11.2,0.6,bachelors,1.9,Project Manager,Product and Project Management,Senior-Level,"San Francisco, CA",227197.62,133000.5,22500.3,155499.9
811790D1,Male,11.5,8.4,doctorate,4,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.8,30000.5,155497.8
483596NW,Male,12.8,10.4,doctorate,4.6,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.2,30000.2,155497.9
65990L1J,Male,10.5,5.4,doctorate,3.5,Product Owner,Product and Project Management,Senior-Level,"Boston, MA",195334.72,127978.7,27500.6,155478.9
82498D9S,Male,7,6.7,masters,3.5,AI Specialist,Data Science and Engineering,Senior-Level,"Atlanta, GA",160884.5,127975.2,27500.2,155474
26887QY1,Male,10.2,8.7,masters,3.4,AI Specialist,Data Science and Engineering,Senior-Level,"Atlanta, GA",160884.5,127975.4,27500.2,155474.8
98086XS7,Male,7.4,3,masters,2.5,Software Engineer,Software Development,Mid-Level,"New York, NY",207951.12,135471.3,20000,155470
58046UA3,Female,7.5,3.4,masters,2.7,Software Engineer,Software Development,Mid-Level,"New York, NY",207951.12,135471.5,20000.1,155470
74528BMJ,Male,3.1,0.1,masters,2.8,Software Engineer,Software Development,Mid-Level,"New York, NY",207951.12,135471.1,20000.4,155470.7
67458846,Male,5,1.5,masters,2.2,Software Engineer,Software Development,Mid-Level,"Chicago, IL",118749.87,135471.5,20000.3,155470.6
74520MM9,Female,5.8,1.7,bachelors,3.8,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,132969.1,22500.6,155469.9
16749M8V,Female,4.1,1.4,masters,3.8,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,132969.9,22500.7,155469
258448MD,Male,5.6,1.7,masters,3.4,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,132969.8,22500,155469.4
19130U7T,Female,5.9,0.6,masters,3,Software Engineer,Software Development,Mid-Level,"Atlanta, GA",119416.38,132969.2,22500.3,155469.3
317809SA,Male,8.7,3.7,doctorate,4.6,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,125457.3,30000.3,155457.7
56200ISR,Male,6.6,4.4,doctorate,4.4,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,125457.9,30000.8,155457.2
13369YTL,Female,7.5,6.4,masters,4.6,Network Engineer,IT and Systems Management,Senior-Level,"Atlanta, GA",116497.75,125434.3,30000.6,155434.2
85254SJZ,Male,10.5,2.6,bachelors,4,Product Owner,Product and Project Management,Senior-Level,"Chicago, IL",128579.32,125422.9,30000.7,155422.3
36990XGJ,Female,11.3,4.6,bachelors,4.5,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,122916.3,32500.8,155416
90444DVR,Female,7.2,3.9,bachelors,4.2,Cybersecurity Analyst,IT and Systems Management,Senior-Level,"Boston, MA",182992.32,125409.5,30000.5,155408.5
6628144Z,Male,10.2,8.2,masters,2.3,Network Engineer,IT and Systems Management,Senior-Level,"Los Angeles, CA",187805.21,130402.1,25000.9,155402.5
68888DJF,Female,6.4,3.2,bachelors,2.7,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,130387.6,25000.7,155387.6
97615KU6,Female,9.1,8,bachelors,2.3,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,130387.1,25000,155387.7
29564XW7,Female,8.3,2.7,masters,2.9,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,130387.3,25000.7,155387.8
212005QD,Male,12.2,4.1,bachelors,2.6,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,130387.2,25000.7,155387.6
12151VR7,Male,7.6,3.4,masters,2.1,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,130387.1,25000.1,155387
5474568M,Male,12.7,9,masters,2.7,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,130387.4,25000.9,155387.2
80485K65,Female,4.8,0.1,bachelors,3.8,Software Engineer,Software Development,Mid-Level,"New York, NY",207951.12,132840.8,22500.7,155340.8
85711UNZ,Male,10.8,5.7,doctorate,3.3,Product Manager,Product and Project Management,Senior-Level,"Austin, TX",158275.31,127825.8,27500.8,155325.1
27789XW9,Male,12.7,6.6,bachelors,4.4,Product Owner,Product and Project Management,Senior-Level,"New York, NY",225164.16,125323.8,30000.3,155322.9
11139TTR,Female,12.7,7.8,bachelors,3.8,HR Specialist,Human Resources,Senior-Level,"Seattle, WA",179481.48,127804.1,27500.3,155303.9
41761A8P,Male,10.3,6.6,masters,2.2,Senior Software Engineer,Software Development,Senior-Level,"Chicago, IL",145555.04,130272.3,25000.3,155271.3
85827AZY,Female,10.9,4.3,bachelors,4.3,Data Scientist,Data Science and Engineering,Senior-Level,"Austin, TX",151833.11,125260.6,30000.2,155259.9
46236YJ9,Female,8,6.8,masters,2.5,DevOps Engineers,IT and Systems Management,Senior-Level,"Atlanta, GA",143480.25,130243.4,25000.3,155243
65070K0W,Male,6,1.9,doctorate,4,Data Scientist,Data Science and Engineering,Senior-Level,"Seattle, WA",193959.48,125230.5,30000.9,155230
75804F38,Male,5.4,0.3,masters,5.9,Software Engineer,Software Development,Mid-Level,"New York, NY",207951.12,130210.3,25000.5,155209.9
40049GQJ,Female,7.4,0.4,bachelors,5,Software Engineer,Software Development,Mid-Level,"New York, NY",207951.12,130210,25000.3,155209.5
501237JH,Female,6.1,2.7,bachelors,3.2,DevOps Engineers,IT and Systems Management,Senior-Level,"Chicago, IL",142679.43,127698.8,27500.6,155197.4
44659HNI,Female,6.2,5.4,bachelors,2.7,Project Manager,Product and Project Management,Senior-Level,"New York, NY",216665.28,130185.9,25000.1,155184.6
70259TX6,Male,6.1,0.8,bachelors,1.7,Data Scientist,Data Science and Engineering,Senior-Level,"Boston, MA",206686.48,132565.2,22500.7,155064.7
129681SZ,Male,7.3,3.3,doctorate,3.6,Product Manager,Product and Project Management,Senior-Level,"Seattle, WA",202189.08,127543.9,27500.3,155042
579151HF,Female,11.8,7.9,doctorate,4.1,Product Manager,Product and Project Management,Senior-Level,"Dallas, TX",135058.06,125027.6,30000.7,155027.1
46420W0Z,Female,10,0.3,masters,1.7,Project Manager,Product and Project Management,Senior-Level,"San Francisco, CA",227197.62,130007.3,25000.5,155007.4
32450YY5,Male,8.6,6.9,doctorate,3.5,Project Manager,Product and Project Management,Senior-Level,"San Francisco, CA",227197.62,127458.8,27500.8,154958.9
18207VPY,Female,8.8,1.4,bachelors,3.2,Product Manager,Product and Project Management,Senior-Level,"Atlanta, GA",142620.25,124925.3,30000.8,154924.2
30305FQG,Male,8.2,6.7,masters,3.7,AI Specialist,Data Science and Engineering,Senior-Level,"Boston, MA",243047.84,127391.8,27500.3,154891.4
97378GAF,Female,10.7,2.8,doctorate,3.4,Senior Software Engineer,Software Development,Senior-Level,"Atlanta, GA",146372,127389,27500.1,154889.9
61064D1I,Male,10.4,0,bachelors,3.2,Senior Software Engineer,Software Development,Senior-Level,"Atlanta, GA",146372,127389,27500.9,154889.4
3645535N,Male,9,7.1,bachelors,3,Senior Software Engineer,Software Development,Senior-Level,"Chicago, IL",145555.04,127344,27500.7,154844.7
10974PKZ,Female,10.9,2.2,bachelors,3.7,Software Architect,Software Development,Senior-Level,"Chicago, IL",156255.73,127278,27500.7,154778.6
91013VCL,Female,9.9,7.4,masters,2.5,Senior Software Engineer,Software Development,Senior-Level,"Austin, TX",162438.88,129777.2,25000.7,154777.9
14349QAO,Male,10.9,9.5,doctorate,5.4,Project Manager,Product and Project Management,Senior-Level,"Denver, CO",131133.42,124768.4,30000.3,154768.1
31660NIC,Male,6.1,5,bachelors,3.8,Data Engineer,Data Science and Engineering,Senior-Level,"Boston, MA",202723.92,127227.4,27500.3,154727.7
90935Q53,Female,6.8,1.7,bachelors,2.9,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,127204.9,27500.4,154704.3
511308RO,Female,11.8,2.6,masters,3.5,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,127128.9,27500.5,154627.4
49188346,Female,6.1,3,bachelors,3.3,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,127128,27500,154627
39142S8J,Male,7.1,5.8,bachelors,3.1,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,127128.3,27500,154627
4368381Q,Female,7,4.4,masters,3.2,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,127128.8,27500.1,154627.6
45699T33,Female,11,6,doctorate,2.1,Senior Software Engineer,Software Development,Senior-Level,"Boston, MA",221123.84,129625.8,25000.2,154624
79127ZQE,Female,11.8,9.5,doctorate,3.6,Infrastructure Engineer,IT and Systems Management,Senior-Level,"New York, NY",233681.76,127107.2,27500.5,154607.6
153827YW,Male,6.5,0.6,doctorate,1.7,Senior Software Engineer,Software Development,Senior-Level,"Denver, CO",154269.28,132103,22500.9,154602.3
55428XDX,Female,7,6,bachelors,3.3,Infrastructure Engineer,IT and Systems Management,Senior-Level,"Seattle, WA",190240.92,127065.7,27500.1,154564.8
71234CDI,Male,7.8,3.9,bachelors,3.2,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,127045.5,27500.1,154545.4
239971P2,Male,9.4,8.9,bachelors,1.6,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,132017.8,22500.3,154517.7
42975GSF,Male,8.6,6.7,doctorate,3.1,Infrastructure Engineer,IT and Systems Management,Senior-Level,"San Francisco, CA",245041.29,127009.2,27500.4,154508.1
43450F57,Male,7.1,3.5,doctorate,2.4,Data Scientist,Data Science and Engineering,Senior-Level,"San Francisco, CA",249831.01,129491.3,25000,154491.4
9.51E+83,Male,9,7.1,bachelors,2.6,Data Scientist,Data Science and Engineering,Senior-Level,"San Francisco, CA",249831.01,129491.6,25000.9,154491
33653S64,Male,12.4,0.6,doctorate,2,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"Atlanta, GA",160884.5,129480,25000.9,154480.6
741082VZ,Female,8.8,7.3,masters,4.2,Product Owner,Product and Project Management,Senior-Level,"New York, NY",225164.16,124468.2,30000.7,154468.3
25617E1J,Female,6,0.3,doctorate,3.1,DevOps Engineers,IT and Systems Management,Senior-Level,"Los Angeles, CA",231303.51,126954.3,27500.2,154454.7
18202397,Male,3.7,1.6,masters,4.8,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,131919.8,22500.1,154419.5
27380LTC,Female,6,1.3,masters,4.7,Software Engineer,Software Development,Mid-Level,"Seattle, WA",169293.54,131919.5,22500.1,154419.8
17205VU8,Male,10.6,8.2,masters,2.8,DevOps Engineers,IT and Systems Management,Senior-Level,"San Francisco, CA",262001.61,129409.1,25000.4,154409.3
76469V0I,Male,3.3,1.9,bachelors,5,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,129407.7,25000.3,154406.2
98825OPD,Male,4.4,3.2,bachelors,5.5,Software Engineer,Software Development,Mid-Level,"Atlanta, GA",119416.38,129407.9,25000.3,154406.3
22642SOA,Male,6.4,1.1,masters,4.3,Backend Developer,Software Development,Mid-Level,"Boston, MA",199199.84,131885.9,22500.4,154384.2
13725JMO,Female,8.8,2.6,doctorate,2,Senior Software Engineer,Software Development,Senior-Level,"Seattle, WA",207507.84,129358.9,25000.6,154357.6
32348YP0,Female,8.2,0.7,masters,2.1,Data Engineer,Data Science and Engineering,Senior-Level,"Atlanta, GA",134192.25,129347.8,25000.1,154346.2
51067LMO,Female,8,3.9,bachelors,3.9,Project Manager,Product and Project Management,Senior-Level,"Seattle, WA",176387.76,126844.7,27500.4,154344.3
8784338Q,Female,6.9,2.4,doctorate,3.9,DevOps Engineers,IT and Systems Management,Senior-Level,"Seattle, WA",203408.28,126802.5,27500.7,154302.9
48175AWM,Male,5.8,2.7,masters,2.2,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,134299.6,20000.1,154298.3
41026S88,Male,5.5,2.8,bachelors,2.7,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,134299.2,20000,154298
89063PJO,Female,12.6,0.5,doctorate,3.3,Senior Software Engineer,Software Development,Senior-Level,"Dallas, TX",138610.88,126756.7,27500.5,154255
767459ZL,Male,9.3,3.9,doctorate,2.1,Data Engineer,Data Science and Engineering,Senior-Level,"Denver, CO",141432.39,129185.4,25000.8,154184.8
30535N4K,Female,8.8,0.3,bachelors,3.5,Network Engineer,IT and Systems Management,Senior-Level,"Los Angeles, CA",187805.21,126676.6,27500.4,154176.9
60963W2J,Female,7.5,0.4,masters,4.2,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,131640.8,22500.4,154139.2
56163MGH,Female,6.3,2.4,masters,4.4,Software Engineer,Software Development,Mid-Level,"Seattle, WA",169293.54,131640.5,22500,154139.5
81759EG2,Male,4.9,0,bachelors,4.4,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,131640.6,22500.2,154139.4
210677IF,Male,12,9,doctorate,2.5,HR Specialist,Human Resources,Senior-Level,"Chicago, IL",125896.13,129135.9,25000.1,154135.9
767000AP,Female,6.3,5.4,masters,5.9,Senior Software Engineer,Software Development,Senior-Level,"Austin, TX",162438.88,124135,30000.7,154134
32755DZ4,Male,4.4,2.9,bachelors,1.9,Mobile Application Developer,Software Development,Mid-Level,"San Francisco, CA",240781.58,136547.4,17500.3,154046.2
68009E5Q,Female,3.6,0.4,masters,4.9,Software Engineer,Software Development,Mid-Level,"New York, NY",207951.12,131525.2,22500,154025.3
277593ZJ,Male,11,5.3,masters,5.7,Data Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",245041.29,124020.9,30000.8,154020.2
52921DCF,Male,12,4.8,doctorate,5.4,Senior Software Engineer,Software Development,Senior-Level,"Dallas, TX",138610.88,123970.7,30000.9,153970.2
299827FP,Female,6.4,3.7,bachelors,3.1,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"Atlanta, GA",160884.5,126469.1,27500.1,153969.9
20552YT8,Female,8.8,1.7,masters,5.7,Product Manager,Product and Project Management,Senior-Level,"Austin, TX",158275.31,121448.4,32500,153947.6
449511OB,Female,10.3,6.4,masters,2.3,Project Manager,Product and Project Management,Senior-Level,"San Francisco, CA",227197.62,128927.8,25000.6,153926.5
938737KE,Female,11.2,2.3,masters,3.2,Senior Software Engineer,Software Development,Senior-Level,"Los Angeles, CA",235965.28,126392.1,27500.1,153892.5
57161689,Male,7,3,masters,3,Cybersecurity Analyst,IT and Systems Management,Senior-Level,"Denver, CO",127666.44,126328.3,27500.6,153828
30070Q3Q,Female,8.7,7.8,masters,3.1,Cybersecurity Analyst,IT and Systems Management,Senior-Level,"San Francisco, CA",221190.84,126328,27500.4,153828.8
32890QCQ,Male,9.3,3.2,bachelors,2.2,Senior Software Engineer,Software Development,Senior-Level,"Chicago, IL",145555.04,128808.9,25000,153807
65606ZIK,Male,11.3,10.3,bachelors,3.1,Senior Software Engineer,Software Development,Senior-Level,"Seattle, WA",207507.84,126278.1,27500.6,153778.1
43504JSV,Female,6.7,4.6,masters,5.6,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,121265.6,32500,153764.6
86226MMX,Male,8.8,4.2,bachelors,2.7,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,128757.4,25000.4,153757.6
44146R5V,Male,11.6,0,masters,2.8,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,128757.8,25000.8,153757.8
93343ES8,Male,9.2,5.8,bachelors,2,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,128757.1,25000,153757
331899BG,Female,12.6,6.2,doctorate,2,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,128757.9,25000.1,153757.5
864313RU,Male,11.6,0.2,bachelors,2.1,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,128757,25000.7,153757.2
19650YMT,Male,7,6,doctorate,2.2,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,128757.1,25000.1,153757.6
790939TX,Female,12.5,6.2,masters,2,Cybersecurity Analyst,IT and Systems Management,Senior-Level,"Seattle, WA",171724.32,128716.3,25000.3,153715.4
43757IW5,Male,10.5,5.7,bachelors,3.8,DevOps Engineers,IT and Systems Management,Senior-Level,"San Francisco, CA",262001.61,126214.1,27500.3,153713.4
51953RE3,Female,10.1,3.9,doctorate,3,DevOps Engineers,IT and Systems Management,Senior-Level,"San Francisco, CA",262001.61,126214.9,27500.8,153713.9
984092SW,Male,11.4,8.4,bachelors,3.3,Product Manager,Product and Project Management,Senior-Level,"Los Angeles, CA",229917.11,126194,27500.8,153693.4
87002JGY,Female,11.8,10.7,bachelors,4,Project Manager,Product and Project Management,Senior-Level,"San Francisco, CA",227197.62,123634.2,30000.9,153634
560085Q4,Male,8.6,2.4,doctorate,2.4,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,128633.7,25000.7,153633.6
27329QP2,Female,7.1,2,bachelors,4,Software Engineer,Software Development,Mid-Level,"Los Angeles, CA",192510.31,131123.7,22500.9,153623.8
98769IIX,Female,7.6,3.8,bachelors,4.1,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,131123,22500.2,153623.3
52061GNL,Female,9.1,7.1,bachelors,2.2,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"Dallas, TX",152353.88,128606.2,25000.4,153606.8
4613356U,Male,12.5,6.7,doctorate,2.1,DevOps Engineers,IT and Systems Management,Senior-Level,"Austin, TX",159229.71,128596.4,25000,153596.8
89670I20,Male,6.5,1.9,bachelors,3.3,Project Manager,Product and Project Management,Senior-Level,"New York, NY",216665.28,126074.1,27500.3,153573.5
49710DAH,Male,9.1,2.4,bachelors,3.7,Project Manager,Product and Project Management,Senior-Level,"San Francisco, CA",227197.62,126073.7,27500.3,153572
57926PYB,Male,12.8,1.8,masters,2.4,DevOps Engineers,IT and Systems Management,Senior-Level,"Boston, MA",216755.28,128559.1,25000.5,153558.2
71661I4Q,Male,10.8,5.3,bachelors,2.9,Infrastructure Engineer,IT and Systems Management,Senior-Level,"San Francisco, CA",245041.29,128503.4,25000,153502.9
87552QW5,Male,7.5,6.6,bachelors,4.5,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,128448.9,25000.9,153448.8
607092N1,Male,11.8,0.3,doctorate,5.5,Product Owner,Product and Project Management,Senior-Level,"Atlanta, GA",129301,123422.6,30000.9,153422.4
725773Y7,Male,7.8,6.4,masters,3.4,Infrastructure Engineer,IT and Systems Management,Senior-Level,"Los Angeles, CA",216330.39,125889.1,27500.3,153389.6
11091D0K,Male,12.2,3.7,bachelors,2.9,Product Manager,Product and Project Management,Senior-Level,"Chicago, IL",141824.23,128359.3,25000.2,153358.2
13255I5L,Female,5.5,3.7,bachelors,4.8,Frontend Developer,Software Development,Mid-Level,"San Francisco, CA",221190.84,130832.8,22500.5,153332.6
52119QUJ,Female,12.9,4.1,doctorate,2,DevOps Engineers,IT and Systems Management,Senior-Level,"Seattle, WA",203408.28,128312.6,25000.1,153311.8
11374JKR,Female,11.6,3.8,bachelors,3.7,Senior Software Engineer,Software Development,Senior-Level,"New York, NY",254891.52,125747.9,27500.1,153246.7
262189J4,Female,10.7,4.7,doctorate,3.8,Product Manager,Product and Project Management,Senior-Level,"Chicago, IL",141824.23,123224.7,30000.9,153224.1
10752J7M,Male,6.2,4.6,masters,4.5,Backend Developer,Software Development,Mid-Level,"San Francisco, CA",240781.58,130674.3,22500.2,153173.5
97806ZHR,Male,6.9,0.1,masters,4.7,Software Engineer,Software Development,Mid-Level,"Atlanta, GA",119416.38,130663.1,22500.9,153163.6
46168NGW,Male,3.2,0.6,masters,4,Software Engineer,Software Development,Mid-Level,"Boston, MA",180402.04,130663.5,22500.5,153163.9
60355I55,Female,3.9,0.1,bachelors,4.6,Software Engineer,Software Development,Mid-Level,"Seattle, WA",169293.54,130663,22500.8,153163.3
46996980,Female,11.7,8.8,bachelors,3.8,Product Manager,Product and Project Management,Senior-Level,"Los Angeles, CA",229917.11,125661.7,27500.6,153161.5
11739EUB,Female,11.8,6.8,bachelors,3.1,Infrastructure Engineer,IT and Systems Management,Senior-Level,"Seattle, WA",190240.92,125653,27500.3,153153
349508X4,Male,8.3,3.1,masters,2,Project Manager,Product and Project Management,Senior-Level,"Chicago, IL",123726.06,128154.3,25000.9,153153.4
80063B7U,Female,4,2.7,masters,5.3,Software Engineer,Software Development,Mid-Level,"Boston, MA",180402.04,128148.7,25000.2,153148.8
87086HWH,Male,7.3,0.6,bachelors,4.5,Software Engineer,Software Development,Mid-Level,"Seattle, WA",169293.54,130636.8,22500.9,153136.4
2246874Y,Female,8.3,5.3,bachelors,3.2,Software Architect,Software Development,Senior-Level,"Los Angeles, CA",253312.61,125634.7,27500.3,153133.5
37464PGL,Female,5.9,1.5,bachelors,1,Software Engineer,Software Development,Mid-Level,"Seattle, WA",169293.54,135629,17500.8,153128.4
27820074,Female,3.9,2.5,masters,1.5,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,135629.2,17500.9,153128.4
967219YB,Male,10.2,8.5,masters,3.5,Infrastructure Engineer,IT and Systems Management,Senior-Level,"Atlanta, GA",134192.25,125579.6,27500,153079.5
63426OK7,Female,12.4,0.3,doctorate,4.8,Product Manager,Product and Project Management,Senior-Level,"Boston, MA",215456.08,123048.1,30000.3,153048.6
13004DH1,Female,7.2,6.4,doctorate,2.8,Data Scientist,Data Science and Engineering,Senior-Level,"Atlanta, GA",136815.25,128034.2,25000,153034.5
88721POM,Male,7,0.8,bachelors,3,Data Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",245041.29,125515.9,27500.3,153014.4
48021DTA,Male,12.7,11.7,doctorate,3.6,Product Owner,Product and Project Management,Senior-Level,"Dallas, TX",122445.04,125508.7,27500.2,153007
65263Q83,Male,8.3,7.3,bachelors,3,Product Manager,Product and Project Management,Senior-Level,"Chicago, IL",141824.23,125506,27500.5,153006.6
222163VT,Male,12.5,7.1,bachelors,3.1,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.8,27500.4,152997.8
29058CMD,Male,8.9,5.9,doctorate,3.5,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.6,27500.6,152997
51156WZU,Male,7.9,2.5,masters,3.3,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.5,27500,152997.7
117477RG,Female,9.9,2.3,doctorate,3.5,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.2,27500.1,152997.3
45559TQW,Male,6.5,3.6,doctorate,3.6,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.4,27500.9,152997.5
6762104C,Male,12,6.8,doctorate,3.9,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.9,27500.3,152997.3
15467WH7,Male,7.3,5.9,bachelors,3,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.5,27500.9,152997.9
62851C8I,Female,7.6,3.1,bachelors,3.3,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.9,27500.7,152997.9
15447HA5,Male,6.4,5.8,masters,3.2,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,125498.6,27500.8,152997.6
74954VC7,Male,10.8,9.2,bachelors,3.5,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,125457.3,27500.4,152957.9
5164930A,Male,12.3,6.5,bachelors,3,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,125457.2,27500,152957.7
59636VTZ,Male,7.6,3,masters,3.1,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,125457.9,27500.7,152957.6
926464UA,Male,8.2,1.3,doctorate,3.7,Data Engineer,Data Science and Engineering,Senior-Level,"Austin, TX",148922.19,125445.1,27500.7,152944.9
41563SE7,Male,8.1,6.4,bachelors,3.3,Cybersecurity Analyst,IT and Systems Management,Senior-Level,"San Francisco, CA",221190.84,125437,27500.8,152937.6
470009VI,Female,4.8,0.1,masters,4.9,Frontend Developer,Software Development,Mid-Level,"San Francisco, CA",221190.84,130423.4,22500.4,152923.9
74319WK0,Female,7.9,0.8,masters,3.7,Cybersecurity Analyst,IT and Systems Management,Senior-Level,"San Francisco, CA",221190.84,125409.1,27500.6,152908.1
53896T08,Female,11.6,10.8,masters,3.4,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,125394.4,27500.8,152893
47782KKY,Male,12.5,11.2,doctorate,1.1,Senior Software Engineer,Software Development,Senior-Level,"San Francisco, CA",267282.08,130387.9,22500.3,152887.4
76455YB5,Male,9.3,3.6,bachelors,3.4,Senior Software Engineer,Software Development,Senior-Level,"Dallas, TX",138610.88,125363.6,27500.2,152863.5
835173R3,Male,6.4,2.1,bachelors,5.8,Frontend Developer,Software Development,Mid-Level,"San Francisco, CA",221190.84,127840.7,25000.3,152840.8
17368RN5,Female,4.8,1.3,masters,4.3,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,130310,22500.6,152809.4
583160S1,Female,3.8,1.5,bachelors,4.9,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,130310.5,22500.2,152809.7
76218VGP,Female,3,1.5,bachelors,4,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,130310.7,22500.9,152809.8
97152NJ1,Male,12.4,5.7,bachelors,3.3,HR Specialist,Human Resources,Senior-Level,"Boston, MA",191258.48,125308.3,27500,152807.2
422516SO,Female,5.4,0.2,masters,5.4,Scrum Master,Product and Project Management,Mid-Level,"New York, NY",214961.76,127802.5,25000.1,152801.4
30553IM6,Male,8.9,7,masters,3.1,DevOps Engineers,IT and Systems Management,Senior-Level,"Seattle, WA",203408.28,125293.5,27500.2,152792.1
77404502,Male,8.3,2.6,bachelors,2.7,Product Manager,Product and Project Management,Senior-Level,"Boston, MA",215456.08,127788.2,25000.6,152788.2
16654ZJI,Male,3.5,2.3,bachelors,4.3,Scrum Master,Product and Project Management,Mid-Level,"Los Angeles, CA",199000.39,130280.6,22500.1,152779.1
595383YL,Female,7.9,2.5,doctorate,3.1,Product Manager,Product and Project Management,Senior-Level,"Atlanta, GA",142620.25,125245,27500.5,152745.3
96215G8N,Male,3.3,2.4,masters,5.6,Mobile Application Developer,Software Development,Mid-Level,"San Francisco, CA",240781.58,127737.8,25000.3,152737.1
20499MWY,Male,8.7,2.4,doctorate,5,Senior Software Engineer,Software Development,Senior-Level,"Austin, TX",162438.88,122724,30000,152724
45675QQP,Male,4.7,2.4,bachelors,4.1,Software Engineer,Software Development,Mid-Level,"Los Angeles, CA",192510.31,130210.6,22500.6,152709.1
585338Q0,Male,11,3.4,masters,2.3,Senior Software Engineer,Software Development,Senior-Level,"Denver, CO",154269.28,127700.3,25000.2,152699.5
24818B5S,Male,14.8,10.1,masters,4.1,Human Resources Business Partner,Human Resources,Management-Level,"Atlanta, GA",140491.75,105180.4,47500.2,152679.3
65001ONF,Male,5.4,4.1,masters,2,Software Engineer,Software Development,Mid-Level,"San Francisco, CA",218059.86,132637.1,20000.6,152636.9
22310HJ8,Female,6.3,0.8,doctorate,4.5,Product Manager,Product and Project Management,Senior-Level,"San Francisco, CA",260431.21,122583.9,30000.7,152582.8
